id;tidak_baku;baku
278;guno;guna
279;wak;saya
280;ibo;iba
281;nio;mau
282;diantan;diantarkan
283;mntp;mantap
284;paralu;perlu
285;kereeennnn;keren
286;semlm;semalam
287;apl;aplikasi
288;kesh;uang tunai
289;kironyo;kiranya
290;shopepay;shopeepay
291;baa;bagaimana
292;dima;dimana
293;maurus;mengurus
294;soalya;soalnya
295;ad;ada
296;stlh;setelah
297;klu;kalau
298;perawan;perawatan
299;sabalun;sebelum
300;alun;belum
301;debet;debit
302;krtu;kartu
304;nunggunya;menunggunya
305;emoney;emoney
306;digital payment;pembayaran digital
307;handak nya;sebaiknya
308;segeh;mantap
309;the next;orang selanjutnya
310;scara;secara
311;emamg;memang
312;akuuuu;aku
313;request;minta
314;bamun;namun
315;supirnya;sopirnya
317;bypas;bypass
318;moga;semoga
319;ko;ini
320;kebih;lebih
321;d;di
323;waah;wah
324;e wallet;ewallet
325;onlinee;online
326;siyap;siap
327;lubay;lubuk buaya
328;koredo;koridor
329;acok;sering
330;bangett;sangat
331;top up;isi ulang
332;beberpa;beberapa
333;kor4;koridor 4
334;pembaruan;pembaharuan
335;koridor iv;koridor 4
336;satangah;setengah
337;lupo;lupa
338;bisuak;besok
339;ntuak;untuk
340;uneg;unek
341;bwyar;bayar
342;ngadat;macet
343;buek;buat
344;geratisssss;gratis
345;ditgh;ditengah
346;blkangan;belakangan
347;trliht;terlihat
348;brjarak;berjarak
349;kndraan;kendaraan
350;asok;asap
351;mangalabuik;mengepul
352;myan;lumayan
353;gaduik;gadut
354;transpirtasi;transportasi
355;kulot;kolot
356;koridor v;koridor 5
357;wakatu;waktu
358;ciek jo duo;satu dan dua
360;bko;nanti
361;betull;betul
362;manrpkan;menerapkan
363;tingga;tinggal
364;haltenyo;haltenya
365;pae;pergi
366;pdnhal;padahal
367;untum;untuk
368;nan komen;yang komentar
369;sangking;saking
370;cameeh;cemooh
371;tatingga;tertinggal
372;kampuang;kampung
373;lah;sudah
374;alh;sudah
375;pakak;bodoh
376;suai;sesuai
377;banyianyo bayarnya;
378;bara;berapa
379;handeh;hadeh
380;mangaji;menggaji
381;tantu;tentu
382;pitih;uang
383;saibu;seribu
384;mambaco;membaca
385;co a;coba
386;managemen;manajemen
388;gulo;permen
390;santiang;pintar
392;disiko;disini
393;satiok;setiap
394;kepeang;uang
396;mintak;minta
397;jadh;oke
398;dak;tidak
399;pabanyak se;perbanyak saja
400;raso;rasa
401;masak;masa
402;bohoooooong;bohong
403;tapiiiiiii;tapi
405;manyabuik;menyebut
406;kama;kemana
407;manyerengeh;menyeringai
409;bikin;buat
410;teros;terus
411;trims;terimakasih
412;pakd;pakai
413;good;bagus
414;yeayyy;yey
415;uhuyyy;uhuy
416;stundets;pelajar
417;akhirnyaaaaa;akhirnya
418;pricenya;harganya
419;bagak;berani
420;samo;sama
421;batinju;bertinju
422;karano;karena
423;indag;tidak
424;masuak;masuk
425;manga;kenapa
426;bapakai;dipakai
427;muluik;mulut
428;ang;kamu
429;kolor lambok sarawa lapang;celana dalam basah celana kedodoran
430;den;saya
431;ketek;kecil
432;bntuak;bentuk
433;ikua;ekor
434;sanak;saudara
435;transport;transportasi
436;i;saya
437;see;lihat
438;top upnya;isi ulangnya
439;ba a;bagaimana
441;padiah;pedih
442;nyangkuik;tersangkut
443;maaciwww;terima kasih
444;mananyo;bertanya
445;akak;kakak
446;pemko;pemerintah kota
448;ngkk;tidak
449;pabnyak;perbanyak
450;trlaksana;terlaksana
451;mmbantu;membantu
452;makonyo;makanya
453;sndri;sendiri
454;sakik;sakit
455;niek;niat
456;sabana;sebenarnya
457;bateh;batas
458;ba operasi;beroperasi
459;apak;bapak
460;maso;masa
461;lauik;laut
462;tanyo;tanya
463;abih;habis
464;sahari;sehari
465;lowdeck;low deck
466;sabanta;sebentar
467;saba;sabar
469;ancak;bagus
470;sayangnyo;sayangnya
471;ongkosnyo;ongkosnya
472;dakek;dekat
474;sabananyo;sebenarnya
475;keterapasaan;keterpaksaan
476;namo no;namanya
477;barubah;berubah
478;gg;tidak
479;koredor;koridor
480;gk;tidak
481;gasabar;tidak sabar
482;anjerrerr;anjir
483;ga;tidak
484;finally;akhirnya
485;yg;yang
486;managrment;manajemen
487;ndak;tidak
488;ksna;kesana
490;da;ada
492;lgi;lagi
493;jd;jadi
494;handak;hendak
495;woiii;woi
496;next;selanjutnya
497;lecturer;dosen
498;uri;kita
499;fav;favorit
500;tmn;teman
501;kann;kan
502;bang;abang
503;kayak;kaya
504;nggak;tidak
505;dah;sudah
506;rame;ramai
507;semua;semua
508;lbih;lebih
509;stuju;setuju
510;skrang;sekarang
511;huhuhu;huhu
512;iyaaa;iya
513;kpan;kapan
514;kirain;kira
515;hahaha;haha
516;time;waktu
517;wkwkw;wkwk
518;nyampe;sampai
519;temanbus;teman bus
520;gak;tidak
521;agak;sedikit
522;gmana;bagaimana
523;8an;8
524;sama2;sama sama
525;mbangking;mbanking
526;brizi;brizzi
527;bener;benar
528;tapi;tetapi
529;kabungny;kabungnya
530;udh;sudah
531;trllu;terlalu
532;karn;karena
533;dgn;dengan
534;ngk;tidak
535;infokan;informasi
536;engak;tidak
537;karna;karena
538;bnyak;banyak
539;nungguin;menunggu
540;berlarut2;berlarut
541;diblakang;dibelakang
543;alsannya;alasannya
544;bustrans;bus trans
545;makai;pakai
546;ngeri;takut
547;skrg;sekarang
548;stgh;setengah
549;tak;tidak
550;pak;bapak
551;kecarian;mencari
552;maknya;ibunya
553;jg;juga
554;plg;pulang
555;tdk;tidak
556;kak;kakak
557;bini;istri
559;doo;do
560;jgn;jangan
561;janji2;janji
562;bapak2;bapak
563;ohh;oh
564;pantasan;pantas
565;janjika;janjikan
566;capek2;letih
567;sma2;sama
568;dzolim;zalim
569;biarin;biarkan
570;udah;sudah
571;resign;berhenti
572;kelangsunganan;kelangsungan
573;lagiii;lagi
574;benar2;benar
575;tancapp;tancap
576;sekedar;sekadar
577;terimakasih;terima kasih
578;trimakasih;terima kasih
579;dmana;dimana
580;mksi;terima kasih
